"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL4436416";"";"None";"498.51";"0";"3.70";"21";"Cn1cc(-c2ccc3nc(Nc4cc(CN5CCN(C(=O)CC(F)(F)F)CC5)ccn4)[nH]c3c2)cn1";"IC50";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"14.56";"0.28";"3.56";"7.64";"0";"CHEMBL4380517";"Inhibition of recombinant full length human N-terminal His-tagged TBK1 using biotin-labelled Ahx-GDEDFSSFAEPG peptide as substrate preincubated with enzyme for 15 mins followed by substrate addition and further incubated for 30 mins in presence of 10 uM of ATP by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4376867";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";""
"CHEMBL4295050";"";"None";"326.35";"0";"3.21";"117";"CC(C)CCc1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1";"IC50";"'='";"10715193.05";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4276010";"Inhibition of human TBK1 (1 to 657 residues) expressed in Baculovirus infected SF9 insect cells using myelin basic protein as substrate in presence of [gamma-33P]-ATP by radiometric kinase assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4270652";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"None";"";""
"CHEMBL4279336";"";"None";"338.32";"0";"2.43";"148";"Nc1nc2oc3ccc(C4=CCOCC4)cc3c(=O)c2cc1C(=O)O";"IC50";"'='";"257039.58";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4276010";"Inhibition of human TBK1 (1 to 657 residues) expressed in Baculovirus infected SF9 insect cells using myelin basic protein as substrate in presence of [gamma-33P]-ATP by radiometric kinase assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4270652";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"None";"";""
"CHEMBL3979474";"";"None";"521.53";"1";"2.51";"BDBM245994";"N#Cc1cc(-c2nc(Nc3ccnc(NC(=O)CN4CCOCC4)c3)ncc2F)cnc1N1CC[C@H](F)C1";"IC50";"'<'";"30.0";"nM";"";"";"429077";"UO_0000065";"";"";"";"";"0";"CHEMBL3889017";"Time-Resolved Fluorescence-based Lanthascreen Assay: Kinase inhibition assays (10 μL) were performed at 20° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 μM) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBα substrate (DRHDSGLDSMKDE), 20 μM ATP, 2 nM or 8 nM IKKε or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.Compound dilutions were prepared from 10 mM DMSO stocks by dilution into DMSO. Compound dilution series were further diluted in kinase assay buffer to give a 12% DMSO stock, the final concentration in the assay being 3% DMSO.The kinase phosphorylation assay was initiated by the addition of the kinase and the reaction was allowed to proceed for 1 h or 2.5 h for IKKε and TBK-1 kinase respectively.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886918";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3984119";"";"None";"474.54";"0";"3.32";"BDBM246000";"CO[C@H]1CCN(Cc2ccc(Nc3nccc(-c4cnc(N5CC[C@H](F)C5)c(C#N)c4)n3)cn2)C1";"IC50";"'<'";"30.0";"nM";"";"";"429083";"UO_0000065";"";"";"";"";"0";"CHEMBL3889017";"Time-Resolved Fluorescence-based Lanthascreen Assay: Kinase inhibition assays (10 μL) were performed at 20° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 μM) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBα substrate (DRHDSGLDSMKDE), 20 μM ATP, 2 nM or 8 nM IKKε or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.Compound dilutions were prepared from 10 mM DMSO stocks by dilution into DMSO. Compound dilution series were further diluted in kinase assay buffer to give a 12% DMSO stock, the final concentration in the assay being 3% DMSO.The kinase phosphorylation assay was initiated by the addition of the kinase and the reaction was allowed to proceed for 1 h or 2.5 h for IKKε and TBK-1 kinase respectively.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886918";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL4109238";"";"None";"390.41";"0";"1.94";"BDBM246035";"Cn1cc(Nc2nccc(-c3cnc(N4CCC[C@@H]4C(=O)O)c(C#N)c3)n2)cn1";"IC50";"'<'";"1000.0";"nM";"";"";"429118";"UO_0000065";"";"";"";"";"0";"CHEMBL3889017";"Time-Resolved Fluorescence-based Lanthascreen Assay: Kinase inhibition assays (10 μL) were performed at 20° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 μM) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBα substrate (DRHDSGLDSMKDE), 20 μM ATP, 2 nM or 8 nM IKKε or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.Compound dilutions were prepared from 10 mM DMSO stocks by dilution into DMSO. Compound dilution series were further diluted in kinase assay buffer to give a 12% DMSO stock, the final concentration in the assay being 3% DMSO.The kinase phosphorylation assay was initiated by the addition of the kinase and the reaction was allowed to proceed for 1 h or 2.5 h for IKKε and TBK-1 kinase respectively.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886918";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3895278";"";"None";"492.53";"0";"3.52";"BDBM246081";"N#Cc1nc(-c2ccnc(Nc3ccc(OCCN4CC[C@H](F)C4)nc3)n2)ccc1N1CC[C@H](F)C1";"IC50";"'<'";"30.0";"nM";"";"";"429164";"UO_0000065";"";"";"";"";"0";"CHEMBL3889017";"Time-Resolved Fluorescence-based Lanthascreen Assay: Kinase inhibition assays (10 μL) were performed at 20° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 μM) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBα substrate (DRHDSGLDSMKDE), 20 μM ATP, 2 nM or 8 nM IKKε or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.Compound dilutions were prepared from 10 mM DMSO stocks by dilution into DMSO. Compound dilution series were further diluted in kinase assay buffer to give a 12% DMSO stock, the final concentration in the assay being 3% DMSO.The kinase phosphorylation assay was initiated by the addition of the kinase and the reaction was allowed to proceed for 1 h or 2.5 h for IKKε and TBK-1 kinase respectively.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886918";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3959400";"";"None";"517.57";"1";"2.49";"BDBM245957";"N#Cc1cc(-c2ccnc(Nc3ccc(NC(=O)CN4CCC(O)CC4)nc3)n2)cnc1N1CC[C@H](F)C1";"IC50";"'<'";"30.0";"nM";"";"";"429040";"UO_0000065";"";"";"";"";"0";"CHEMBL3889017";"Time-Resolved Fluorescence-based Lanthascreen Assay: Kinase inhibition assays (10 μL) were performed at 20° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 μM) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBα substrate (DRHDSGLDSMKDE), 20 μM ATP, 2 nM or 8 nM IKKε or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.Compound dilutions were prepared from 10 mM DMSO stocks by dilution into DMSO. Compound dilution series were further diluted in kinase assay buffer to give a 12% DMSO stock, the final concentration in the assay being 3% DMSO.The kinase phosphorylation assay was initiated by the addition of the kinase and the reaction was allowed to proceed for 1 h or 2.5 h for IKKε and TBK-1 kinase respectively.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886918";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3915872";"";"None";"459.53";"0";"3.53";"BDBM245958";"N#Cc1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cnc1N1CC[C@H](F)C1";"IC50";"'<'";"15.0";"nM";"";"";"429041";"UO_0000065";"";"";"";"";"0";"CHEMBL3889017";"Time-Resolved Fluorescence-based Lanthascreen Assay: Kinase inhibition assays (10 μL) were performed at 20° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 μM) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBα substrate (DRHDSGLDSMKDE), 20 μM ATP, 2 nM or 8 nM IKKε or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.Compound dilutions were prepared from 10 mM DMSO stocks by dilution into DMSO. Compound dilution series were further diluted in kinase assay buffer to give a 12% DMSO stock, the final concentration in the assay being 3% DMSO.The kinase phosphorylation assay was initiated by the addition of the kinase and the reaction was allowed to proceed for 1 h or 2.5 h for IKKε and TBK-1 kinase respectively.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886918";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3975437";"";"None";"487.54";"0";"3.13";"BDBM245969";"N#Cc1cc(-c2ccnc(Nc3ccc(NC(=O)CN4CCCC4)nc3)n2)cnc1N1CC[C@H](F)C1";"IC50";"'<'";"30.0";"nM";"";"";"429052";"UO_0000065";"";"";"";"";"0";"CHEMBL3889017";"Time-Resolved Fluorescence-based Lanthascreen Assay: Kinase inhibition assays (10 μL) were performed at 20° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 μM) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBα substrate (DRHDSGLDSMKDE), 20 μM ATP, 2 nM or 8 nM IKKε or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.Compound dilutions were prepared from 10 mM DMSO stocks by dilution into DMSO. Compound dilution series were further diluted in kinase assay buffer to give a 12% DMSO stock, the final concentration in the assay being 3% DMSO.The kinase phosphorylation assay was initiated by the addition of the kinase and the reaction was allowed to proceed for 1 h or 2.5 h for IKKε and TBK-1 kinase respectively.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886918";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3980158";"";"None";"415.48";"0";"3.65";"BDBM245979";"CN1Cc2ccc(Nc3nccc(-c4cnc(N5CC[C@H](F)C5)c(C#N)c4)n3)cc2C1";"IC50";"'<'";"15.0";"nM";"";"";"429062";"UO_0000065";"";"";"";"";"0";"CHEMBL3889017";"Time-Resolved Fluorescence-based Lanthascreen Assay: Kinase inhibition assays (10 μL) were performed at 20° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 μM) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBα substrate (DRHDSGLDSMKDE), 20 μM ATP, 2 nM or 8 nM IKKε or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.Compound dilutions were prepared from 10 mM DMSO stocks by dilution into DMSO. Compound dilution series were further diluted in kinase assay buffer to give a 12% DMSO stock, the final concentration in the assay being 3% DMSO.The kinase phosphorylation assay was initiated by the addition of the kinase and the reaction was allowed to proceed for 1 h or 2.5 h for IKKε and TBK-1 kinase respectively.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886918";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3896079";"";"None";"533.57";"2";"2.19";"BDBM245989";"N#Cc1cc(-c2nc(Nc3ccc(NC(=O)CN4CCOCC4)nc3)ncc2F)cnc1N1CCCOCC1";"IC50";"'<'";"100.0";"nM";"";"";"429072";"UO_0000065";"";"";"";"";"0";"CHEMBL3889017";"Time-Resolved Fluorescence-based Lanthascreen Assay: Kinase inhibition assays (10 μL) were performed at 20° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 μM) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBα substrate (DRHDSGLDSMKDE), 20 μM ATP, 2 nM or 8 nM IKKε or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.Compound dilutions were prepared from 10 mM DMSO stocks by dilution into DMSO. Compound dilution series were further diluted in kinase assay buffer to give a 12% DMSO stock, the final concentration in the assay being 3% DMSO.The kinase phosphorylation assay was initiated by the addition of the kinase and the reaction was allowed to proceed for 1 h or 2.5 h for IKKε and TBK-1 kinase respectively.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886918";"37";"BindingDB Database";"";"2016";"None";"";""
"CHEMBL3978449";"";"None";"478.51";"0";"3.07";"BDBM245992";"N#Cc1cc(-c2nc(Nc3ccc(CN4CCOCC4)nc3)ncc2F)cnc1N1CC[C@H](F)C1";"IC50";"'<'";"15.0";"nM";"";"";"429075";"UO_0000065";"";"";"";"";"0";"CHEMBL3889017";"Time-Resolved Fluorescence-based Lanthascreen Assay: Kinase inhibition assays (10 μL) were performed at 20° C. in 384-well plate format. Compound IC50 values were determined at the apparent Km for ATP (20 μM) based on a radiometric assay (Invitrogen) using 8 or 10 point curves in duplicate. The final reaction conditions contained 400 nM fluorescein-IkBα substrate (DRHDSGLDSMKDE), 20 μM ATP, 2 nM or 8 nM IKKε or TBK1 kinase respectively, and 3% DMSO in kinase assay buffer consisting of 50 mM HEPES (pH 7.5), 10 mM MgCl, 1 mM EGTA, 0.01% Brij-35.Compound dilutions were prepared from 10 mM DMSO stocks by dilution into DMSO. Compound dilution series were further diluted in kinase assay buffer to give a 12% DMSO stock, the final concentration in the assay being 3% DMSO.The kinase phosphorylation assay was initiated by the addition of the kinase and the reaction was allowed to proceed for 1 h or 2.5 h for IKKε and TBK-1 kinase respectively.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5408";"Serine/threonine-protein kinase TBK1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886918";"37";"BindingDB Database";"";"2016";"None";"";""
